GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Online Learning Platform,com.olp.model.assignment,Assignment,265,176,40,22,66,53,38,20,13,14
Online Learning Platform,com.olp.model.assignment,Submission.Status,0,45,0,0,0,1,0,1,0,1
Online Learning Platform,com.olp.model.assignment,Submission,222,451,53,73,53,134,49,49,9,26
Online Learning Platform,com.olp.model.assignment,Grade,68,187,13,27,21,56,14,22,4,12
Online Learning Platform,com.olp.model.course,Course.Status,0,45,0,0,0,1,0,1,0,1
Online Learning Platform,com.olp.model.course,Enrollment,135,153,24,20,27,51,21,16,5,10
Online Learning Platform,com.olp.model.course,Lesson,235,165,35,19,65,47,34,17,12,12
Online Learning Platform,com.olp.model.course,VideoContent,80,76,9,11,27,25,12,10,6,6
Online Learning Platform,com.olp.model.course,CourseCategory,168,120,20,16,47,32,23,13,10,8
Online Learning Platform,com.olp.model.course,Enrollment.EnrollmentStatus,0,21,0,0,0,1,0,1,0,1
Online Learning Platform,com.olp.model.course,Course,737,623,115,82,182,177,107,67,36,39
Online Learning Platform,com.olp.model.payment,Payment.PaymentStatus,0,33,0,0,0,1,0,1,0,1
Online Learning Platform,com.olp.model.payment,Subscription.PlanType,0,21,0,0,0,1,0,1,0,1
Online Learning Platform,com.olp.model.payment,Refund,138,118,21,13,33,39,21,12,8,8
Online Learning Platform,com.olp.model.payment,Subscription,285,261,51,39,61,77,47,30,15,17
Online Learning Platform,com.olp.model.payment,Subscription.Status,0,33,0,0,0,1,0,1,0,1
Online Learning Platform,com.olp.model.payment,Payment,164,211,30,26,35,69,25,24,7,14
Online Learning Platform,com.olp.service,PaymentServiceImpl,245,0,14,0,48,0,27,0,20,0
Online Learning Platform,com.olp.service,UserServiceImpl,176,0,20,0,34,0,21,0,11,0
Online Learning Platform,com.olp.service,AssignmentServiceImpl,247,0,14,0,48,0,27,0,20,0
Online Learning Platform,com.olp.service,CourseServiceImpl,255,0,12,0,48,0,26,0,20,0
Online Learning Platform,com.olp.model.user,Student,283,158,40,16,65,43,40,14,15,11
Online Learning Platform,com.olp.model.user,Instructor,133,133,20,16,33,34,20,14,7,9
Online Learning Platform,com.olp.model.user,Administrator,6,6,0,0,4,2,2,1,2,1
Online Learning Platform,com.olp.model.user,User,41,63,0,14,19,16,6,11,6,4
Online Learning Platform,com.olp.controller,UserController,132,0,0,0,32,0,8,0,8,0
Online Learning Platform,com.olp.controller,AssignmentController,174,0,0,0,57,0,13,0,13,0
Online Learning Platform,com.olp.controller,PaymentController,174,0,0,0,59,0,13,0,13,0
Online Learning Platform,com.olp.controller,GlobalExceptionHandler,135,0,0,0,22,0,4,0,4,0
Online Learning Platform,com.olp.controller,CourseController,192,0,0,0,59,0,12,0,12,0
Online Learning Platform,com.olp,OnlineLearningPlatformApplication,8,0,0,0,3,0,2,0,2,0
Online Learning Platform,com.olp.util,Utils,3,86,0,14,1,28,1,13,1,6
Online Learning Platform,com.olp.config,CorsConfig,33,0,0,0,9,0,2,0,2,0
